4 16.0 679.66 1256.54
5 16.0 927.29 464.7
6 16.0 152.93 356.32
7 16.0 264.14 321.69
8 16.0 315.44 432.77
9 16.0 437.61 822.87
10 16.0 391.81 998.4
11 16.0 391.11 670.08
12 16.0 892.0 1358.63
13 16.0 252.3 324.09
14 16.0 455.59 544.59
15 16.0 666.85 499.08
16 16.0 983.23 595.44
17 16.0 523.14 1084.22
18 16.0 165.83 369.92
19 16.0 295.68 564.65
20 16.0 469.41 379.23
21 16.0 943.8 472.71
22 16.0 510.11 663.99
23 16.0 629.52 480.45
24 16.0 695.41 592.15
25 16.0 796.87 368.56
26 16.0 172.43 366.49
27 16.0 584.19 811.01
28 16.0 154.32 359.17
29 16.0 850.26 481.44
0 17.0 624.68 795.43
1 17.0 880.6 482.1
2 17.0 717.35 1300.75
3 17.0 149.44 349.13
4 17.0 675.73 1251.93
5 17.0 918.87 466.84
6 17.0 152.24 354.89
7 17.0 267.2 327.64
8 17.0 317.14 437.38
9 17.0 435.06 814.49
10 17.0 398.76 996.33
11 17.0 388.53 661.91
12 17.0 885.89 1351.76
13 17.0 250.38 325.87
14 17.0 457.19 550.24
15 17.0 668.58 504.94
16 17.0 981.27 588.83
17 17.0 527.57 1089.37
18 17.0 163.34 371.18
19 17.0 297.93 571.83
20 17.0 459.18 382.26
21 17.0 938.96 466.73
22 17.0 503.27 666.06
23 17.0 623.88 482.1
24 17.0 697.46 598.73
25 17.0 806.43 370.84
26 17.0 171.21 367.12
27 17.0 593.17 808.29
28 17.0 153.2 356.88
29 17.0 858.94 485.27
0 18.0 618.43 797.32
1 18.0 888.24 479.69
2 18.0 712.12 1294.61
3 18.0 148.29 346.76
4 18.0 671.64 1247.14
5 18.0 911.04 469.27
6 18.0 151.37 353.1
7 18.0 270.69 334.31
8 18.0 322.74 438.06
9 18.0 432.61 806.01
10 18.0 405.99 994.18
11 18.0 386.08 654.01
12 18.0 879.93 1345.38
13 18.0 248.88 326.87
14 18.0 459.08 556.92
15 18.0 670.54 511.57
16 18.0 979.14 581.64
17 18.0 532.33 1094.9
18 18.0 161.3 371.26
19 18.0 300.41 579.71
20 18.0 448.83 385.32
21 18.0 931.87 464.67
22 18.0 499.06 667.16
23 18.0 617.69 483.8
24 18.0 698.29 601.38
25 18.0 815.57 373.03
26 18.0 169.77 367.87
27 18.0 601.27 805.85
28 18.0 152.4 355.22
29 18.0 867.88 485.69
0 19.0 611.08 799.55
1 19.0 895.64 477.39
2 19.0 706.64 1288.18
3 19.0 147.58 345.31
4 19.0 667.89 1242.75
5 19.0 902.77 471.83
6 19.0 150.77 351.86
7 19.0 274.18 341.18
8 19.0 329.31 436.25
9 19.0 430.06 797.64
10 19.0 412.97 992.1
11 19.0 383.85 646.82
12 19.0 873.94 1340.01
13 19.0 246.66 328.27
14 19.0 461.05 563.88
15 19.0 672.57 518.44
16 19.0 977.09 574.75
17 19.0 536.78 1100.07
18 19.0 159.4 369.55
19 19.0 302.84 587.46
20 19.0 439.29 388.14
21 19.0 924.72 465.19
22 19.0 494.91 664.63
23 19.0 611.45 485.5
24 19.0 699.83 603.3
25 19.0 824.66 375.19
26 19.0 167.7 368.95
27 19.0 609.36 803.41
28 19.0 151.35 353.07
29 19.0 876.61 483.34
0 20.0 604.05 801.67
